Ticker,Text,replyCount,retweetCount,likeCount,quoteCount,retweetedTweet,quotedTweet,totalMentions
$TSLA,"b""@DirtyTesla @Tesla @elonmusk Let's hope they will allow more cars into the program with this update. \xf0\x9f\xa4\x9e""",0,0,1,0,,,3
$TSLA,"b'\xe2\x80\x9cNEWS\xe2\x80\x9d GM\xe2\x80\x99s share of the U.S. EV market is exactly 0.0%, that\xe2\x80\x99s how you lead in the electric car market! $TSLA https://t.co/mVGNasuSiC'",0,1,4,0,,,0
$TSLA,b'I wouldn\xe2\x80\x99t pity if Ken Griffin CITADEL one day walking the streets of NY he falls victim to one of those whacked homeless-turned $HOOD retail traders. CNBC now putting on a show shedding crocodile tears over decapitated homeless $HOOD account holders.\n\n$DWAC $TSLA $GOOG $AAPL',0,1,2,1,,,0
$TSLA,"b'lol. again! @Tesla is not ""recalling 53,822 vehicles."" it\'s rolling out software updates. @CNN @mattmcfarland  https://t.co/1n9u8e1wAV. also almost every human driver does rolling stops \xf0\x9f\xa4\xa6 the FUD continues'",0,0,0,1,,,3
$TSLA,b'All #DarkPool today filled within half an hour of trading. \n$SPY $QQQ $IWM $FB $MSFT $NVDA $TSLA \n#StockMarket #stocks #trading #tradingstrategy #cheatcodes\n\nhttps://t.co/tUH5cp8nE7 https://t.co/2lBoEjcdT9',0,2,3,0,,,0
$TSLA,b'@BullishRippers @VirginOrbit admit when first heard @SpaceForceDoD skeptical at best\xe2\x80\xa6but Gen.\xc2\xa0Kevin\xc2\xa0Chilton\xc2\xa0(ret.) makes sense along with @NASA commercial space economy initiatives \n\nthe future will be exciting \xf0\x9f\x92\xab\n\nnow for neurolink and $TSLA bot \xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\x96 to create immortality \xf0\x9f\x98\x82\n\nhttps://t.co/dU1CjqcoiC',0,1,1,1,,,4
$TSLA,b'@jitesh_parikh @3PeaksTrading Probably won\xe2\x80\x99t have the ramp up like $TSLA.',0,1,1,0,,,2
$TSLA,"b'@JonathanOC @DirtyTesla @Kristennetten @Tesla @elonmusk In the next version, rolling stops will be re-enabled everywhere but California. \xf0\x9f\x98\x89'",0,0,0,0,,,5
$TSLA,"b""#Lithium production. Hey @SecGranholm @POTUS! ... I'd say we need Thackerpass yesterday.\n\n#cleanenergy\n$LAC #evs $tsla $nio https://t.co/ij8kNsL2dA""",0,2,16,0,,,2
$TSLA,b'@DirtyTesla @Tesla @elonmusk https://t.co/a7z04vkkLD here ya go!',0,0,0,0,,,3
$TSLA,b'@truth_tesla The overt level of corruption is \xf0\x9f\x91\x80 opening $TSLA',0,1,2,0,,,1
$TSLA,b'@Gfilche @Tesla @POTUS @elonmusk It would be better if all EV cars would be there since 90% would be Teslas.',0,0,0,0,,,4
$TSLA,b'Curious if @Tesla has ongoing dialogs with @Teamsters I think we all just learned why trucks need drivers. Current log restrictions are not efficient for our economy. Thank @Walmart for that one. @elonmusk any info?',0,0,1,0,,,4
$TSLA,b'@GerberKawasaki @Gfilche @Tesla @POTUS @elonmusk This HAS TO HAPPEN. IM DOWN. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb Pretty sure The Biden would have to acknowledge 1000\xe2\x80\x99s of tesla supporters outside of the White House! @WholeMarsBlog @Kristennetten @Teslaconomics',1,2,32,0,,,8
$TSLA,"b'@engineers_feed @elonmusk @Tesla  Would be cool if it can be set to heat outer vehicle and blow hot air from bottom outskirt of vehicle when snowfall, I believe the effects could benefit a whole city (over time).'",3,0,1,0,,,3
$TSLA,"b""$HAS Get funding to build one of the biggest Rare Earth Mining operations in the #world . Essential 4 #ElectricVehicles and other #electronic's. $lyc mc 8.3B $has mc 500M . 500 -1000% upside !! \n#asx #stockmarkets @Tesla @GM @VW #StocksToBuy #EconTwitter \xf0\x9f\x98\x8e\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x9a\x80\xe2\x8f\xb0 #Australia https://t.co/CZsF5B2PJT""",1,3,17,2,,,3
$TSLA,b'Elon musk makes owning a @tesla suck.',0,0,9,0,,,1
$TSLA,"b""$TSLA $GOOG \xf0\x9f\xa7\x90\n\nTesla's Top Rivals Are Google's Waymo and GM's Cruise, Cathie Wood Said https://t.co/A2KzYaLgZx""",0,2,7,0,,,0
$TSLA,b'@stocktalkweekly $tsla moves like a 10b mcap stock so does that still count?',0,1,4,0,,,1
